transaction_id,timestamp,amount,payment_method,card_age_days,card_expiry_days,retry_count,customer_tenure_days,customer_past_success_rate,gateway_response_time_ms,gateway_status,issuer_response_time_ms,issuer_status,response_code,risk_score,available_balance_ratio,transaction_limit,otp_attempts,cvv_match,root_cause,recovered
TXN100019,2026-02-27 09:32:07,1162.5,debit_card,536,423,1,1064,0.912,271,operational,150,operational,OTP_CVV_MISMATCH,0.069,0.658,7279.55,1,1,otp_cvv_mismatch,0
TXN100020,2026-03-23 17:07:07,698.28,credit_card,782,65,0,85,0.796,323,operational,3441,down,ISSUER_DOWN,0.412,0.779,1666.18,1,1,issuer_bank_down,1
TXN100021,2026-05-11 12:29:37,12501.33,debit_card,1043,-660,0,1261,0.842,476,operational,349,down,CARD_EXPIRED,0.293,0.773,4457.33,1,1,expired_card,0
TXN100022,2026-01-15 01:55:27,1895.78,debit_card,846,1162,0,1688,0.8,723,operational,524,operational,CARD_BLOCKED,0.477,0.906,2499.77,0,0,card_blocked,0
TXN100023,2026-04-02 15:40:10,316.65,debit_card,1856,110,1,2011,0.479,369,operational,203,operational,RISK_BLOCK,0.836,0.595,3354.7,1,1,risk_fraud_block,0
TXN100024,2026-01-04 21:39:46,2498.09,debit_card,2272,644,0,519,0.882,607,operational,4689,down,ISSUER_DOWN,0.197,0.732,2636.46,1,1,issuer_bank_down,0
TXN100025,2026-01-08 21:46:10,6013.21,credit_card,1359,597,1,991,0.895,319,operational,255,operational,INSUFFICIENT_FUNDS,0.072,0.091,2825.14,0,0,insufficient_funds,0
TXN100026,2026-01-17 15:41:53,2104.8,credit_card,1451,943,0,1338,0.848,6699,degraded,612,operational,BANK_TIMEOUT,0.17,0.805,10111.84,1,1,bank_server_timeout,1
TXN100027,2026-01-30 02:30:03,730.66,credit_card,1837,990,1,2071,0.751,362,operational,341,operational,INSUFFICIENT_FUNDS,0.187,0.294,3703.2,2,1,insufficient_funds,0
TXN100028,2026-03-04 21:34:11,668.12,debit_card,1018,583,1,183,0.848,531,operational,269,operational,INSUFFICIENT_FUNDS,0.39,0.039,1785.42,0,1,insufficient_funds,1
TXN100029,2026-06-18 08:16:41,719.26,debit_card,1152,769,0,1237,0.748,255,degraded,14814,down,ISSUER_DOWN,0.115,0.706,8677.2,0,1,issuer_bank_down,1
TXN100030,2026-06-13 02:48:18,8243.66,debit_card,2377,984,0,1977,0.958,389,operational,2932,down,ISSUER_DOWN,0.195,0.499,9991.2,0,1,issuer_bank_down,1
TXN100031,2026-01-19 13:40:21,1675.52,credit_card,981,977,0,109,0.743,265,operational,531,degraded,CARD_BLOCKED,0.44,0.761,4116.64,0,1,card_blocked,0
TXN100032,2026-06-28 09:52:11,335.9,debit_card,685,-606,0,50,0.809,294,operational,335,operational,CARD_EXPIRED,0.104,0.566,8186.02,3,1,expired_card,0
TXN100033,2026-04-25 07:36:03,2643.02,debit_card,82,-434,0,224,0.778,516,degraded,759,operational,CARD_EXPIRED,0.171,0.758,6408.51,2,1,expired_card,0
TXN100034,2026-04-10 15:57:47,2072.64,debit_card,83,476,0,808,0.719,4996,degraded,302,operational,TEMPORARY_FAILURE,0.279,0.872,1579.92,3,1,bank_server_timeout,1
TXN100035,2026-05-23 14:50:48,1149.0,debit_card,1928,684,0,299,0.961,346,operational,294,operational,INSUFFICIENT_FUNDS,0.19,0.482,22578.51,0,1,insufficient_funds,0
TXN100036,2026-03-29 04:47:05,648.81,credit_card,600,875,0,962,0.845,304,operational,472,operational,INSUFFICIENT_FUNDS,0.251,0.012,10455.87,0,1,insufficient_funds,0
TXN100037,2026-02-17 18:41:48,621.2,credit_card,1858,376,2,751,0.745,7126,degraded,306,degraded,BANK_TIMEOUT,0.21,0.673,4652.42,3,0,bank_server_timeout,1
TXN100038,2026-04-06 08:07:43,5335.7,credit_card,138,1198,0,1932,0.743,259,operational,1069,operational,INSUFFICIENT_FUNDS,0.055,0.07,3765.88,0,1,insufficient_funds,1
TXN100039,2026-05-11 12:20:13,2305.5,credit_card,1993,549,0,947,0.864,432,operational,221,operational,OTP_CVV_MISMATCH,0.115,0.366,9838.89,1,0,otp_cvv_mismatch,1
TXN100040,2026-05-03 21:13:02,2904.99,credit_card,1037,915,1,2434,0.815,9229,operational,260,operational,BANK_TIMEOUT,0.063,0.695,1752.66,0,0,bank_server_timeout,1
TXN100041,2026-01-31 13:56:49,2299.16,debit_card,2045,622,0,397,0.896,499,operational,127,operational,LIMIT_EXCEEDED,0.125,0.574,2032.3,1,1,transaction_limit_exceeded,1
TXN100042,2026-06-18 20:46:16,2497.96,credit_card,2082,1149,1,483,0.661,185,operational,4611,down,ISSUER_DOWN,0.11,0.533,8451.01,1,1,issuer_bank_down,0
TXN100043,2026-02-21 06:07:16,1126.81,credit_card,1439,-300,1,2006,0.637,270,operational,771,operational,CARD_EXPIRED,0.116,0.451,8197.35,0,1,expired_card,0
TXN100044,2026-05-28 14:17:02,1465.15,credit_card,2438,891,1,353,0.92,430,operational,361,operational,LIMIT_FAILURE,0.397,0.417,813.25,1,1,transaction_limit_exceeded,1
TXN100045,2026-02-26 03:04:16,5770.15,debit_card,2366,936,0,942,0.862,605,operational,631,operational,LIMIT_EXCEEDED,0.141,0.803,3056.15,0,1,transaction_limit_exceeded,0
TXN100046,2026-01-12 09:55:37,7406.64,debit_card,1759,-660,0,1556,0.917,193,operational,146,operational,CARD_EXPIRED,0.162,0.821,2317.49,0,1,expired_card,0
TXN100047,2026-06-29 08:35:56,530.3,credit_card,1245,-236,3,2232,0.712,274,operational,454,operational,CARD_EXPIRED,0.167,0.825,4126.08,0,1,expired_card,0
TXN100048,2026-04-16 23:32:52,1461.59,debit_card,2317,997,2,548,0.828,419,operational,5838,down,ISSUER_DOWN,0.093,0.84,4634.34,0,1,issuer_bank_down,1
TXN100049,2026-02-08 14:57:08,4166.48,debit_card,2424,570,1,696,0.745,749,operational,820,operational,TEMPORARY_FAILURE,0.133,0.206,3515.28,1,1,insufficient_funds,0
TXN100050,2026-01-01 01:24:04,11820.87,debit_card,1039,809,0,67,0.804,178,operational,421,operational,INSUFFICIENT_FUNDS,0.048,0.122,3149.12,0,1,insufficient_funds,1
TXN100051,2026-01-24 06:10:34,10694.68,debit_card,831,636,0,1018,0.929,383,operational,416,degraded,INSUFFICIENT_FUNDS,0.214,0.036,14762.43,3,1,insufficient_funds,0
TXN100052,2026-01-31 13:54:31,812.23,debit_card,777,68,1,584,0.701,338,operational,3868,degraded,TEMPORARY_FAILURE,0.235,0.317,6110.85,1,1,issuer_bank_down,1
TXN100053,2026-06-16 14:59:13,6441.96,debit_card,2340,581,0,731,0.931,370,operational,497,operational,AUTH_FAILURE,0.278,0.485,9967.74,2,0,otp_cvv_mismatch,1
TXN100054,2026-02-01 20:39:35,1908.7,credit_card,410,231,3,591,0.946,509,operational,13855,degraded,ISSUER_DOWN,0.14,0.754,4385.15,1,0,issuer_bank_down,0
TXN100055,2026-01-30 03:32:26,5115.13,debit_card,37,131,3,2490,0.724,644,operational,19644,down,ISSUER_DOWN,0.183,0.507,7175.71,1,1,issuer_bank_down,0
TXN100056,2026-05-31 19:18:54,3959.29,credit_card,1267,335,0,1381,0.764,4740,degraded,269,degraded,BANK_TIMEOUT,0.146,0.729,11270.63,0,1,bank_server_timeout,1
TXN100057,2026-06-08 06:29:21,508.56,credit_card,2379,372,0,1253,0.755,167,operational,116,operational,OTP_CVV_MISMATCH,0.259,0.676,6201.26,3,0,otp_cvv_mismatch,0
TXN100058,2026-02-07 14:48:29,3119.77,debit_card,837,899,0,1128,0.614,290,operational,415,degraded,GENERIC_DECLINE,0.084,0.336,3953.93,0,1,insufficient_funds,1
TXN100059,2026-04-28 01:58:21,4920.86,debit_card,1276,324,0,1468,0.765,1422,operational,140,operational,INSUFFICIENT_FUNDS,0.264,0.222,2733.77,0,1,insufficient_funds,0
TXN100060,2026-04-07 04:48:18,1764.08,debit_card,295,962,0,838,0.699,224,operational,535,operational,OTP_CVV_MISMATCH,0.237,0.634,1371.08,1,0,otp_cvv_mismatch,0
TXN100061,2026-04-14 20:02:30,1407.01,debit_card,2056,275,1,381,0.875,5572,degraded,183,operational,BANK_TIMEOUT,0.287,0.792,6489.06,0,1,bank_server_timeout,1
TXN100062,2026-02-26 00:55:32,373.86,debit_card,2331,997,0,727,0.916,477,operational,291,operational,OTP_CVV_MISMATCH,0.355,0.708,6276.77,2,0,otp_cvv_mismatch,1
TXN100063,2026-05-16 05:46:59,3565.86,credit_card,1596,645,0,806,0.751,538,operational,6185,down,ISSUER_DOWN,0.09,0.484,9976.72,0,1,issuer_bank_down,0
TXN100064,2026-06-08 13:50:15,2217.84,debit_card,335,108,0,674,0.644,262,operational,896,operational,OTP_CVV_MISMATCH,0.075,0.614,5961.26,2,1,otp_cvv_mismatch,0
TXN100065,2026-05-11 16:18:55,715.77,credit_card,271,159,0,372,0.949,658,degraded,233,degraded,OTP_CVV_MISMATCH,0.098,0.763,3977.53,3,0,otp_cvv_mismatch,0
TXN100066,2026-06-12 13:38:45,1299.46,credit_card,1857,114,0,2155,0.758,595,operational,218,operational,OTP_CVV_MISMATCH,0.105,0.47,4327.46,1,0,otp_cvv_mismatch,0
TXN100067,2026-01-20 21:28:23,2100.74,credit_card,347,-553,2,1084,0.774,299,operational,523,operational,CARD_EXPIRED,0.19,0.415,3166.64,0,1,expired_card,0
TXN100068,2026-04-29 06:28:39,1029.58,debit_card,198,380,0,1155,0.728,227,operational,341,operational,INSUFFICIENT_FUNDS,0.042,0.518,2492.0,0,1,insufficient_funds,0
TXN100069,2026-06-29 21:41:36,1804.83,debit_card,2228,84,1,2228,0.78,9780,operational,412,degraded,TEMPORARY_FAILURE,0.202,0.974,8403.79,1,1,bank_server_timeout,1
TXN100070,2026-04-07 10:07:10,312.81,debit_card,1331,827,0,2138,0.551,255,operational,369,operational,INSUFFICIENT_FUNDS,0.097,0.207,18493.05,3,1,insufficient_funds,0
TXN100071,2026-06-19 12:57:49,6939.35,credit_card,1499,1028,1,622,0.972,8220,degraded,296,operational,BANK_TIMEOUT,0.25,0.544,3013.95,0,1,bank_server_timeout,1
TXN100072,2026-03-04 16:59:21,1828.87,debit_card,1696,1015,0,2489,0.83,637,operational,274,operational,LIMIT_EXCEEDED,0.228,0.344,1044.85,0,1,transaction_limit_exceeded,1
TXN100073,2026-06-11 09:16:38,599.56,debit_card,881,206,0,1057,0.631,391,operational,705,operational,INSUFFICIENT_FUNDS,0.328,0.231,1909.2,0,1,insufficient_funds,1
TXN100074,2026-06-18 23:37:17,153.83,debit_card,609,1047,0,1242,0.718,453,operational,157,operational,INSUFFICIENT_FUNDS,0.208,0.113,7447.68,0,1,insufficient_funds,0
TXN100075,2026-04-23 00:17:20,5037.56,credit_card,1312,-583,1,2334,0.74,363,operational,148,operational,CARD_EXPIRED,0.149,0.801,7628.36,1,1,expired_card,0
TXN100076,2026-05-07 19:49:37,3145.2,debit_card,216,-443,0,2321,0.679,405,operational,191,down,CARD_EXPIRED,0.278,0.874,11058.06,1,1,expired_card,0
TXN100077,2026-04-05 02:27:30,2222.14,debit_card,759,186,0,2347,0.902,169,operational,721,operational,OTP_CVV_MISMATCH,0.076,0.526,5331.65,1,0,otp_cvv_mismatch,0
TXN100078,2026-02-27 01:15:36,4269.24,credit_card,1495,927,0,442,0.841,63,operational,851,operational,OTP_CVV_MISMATCH,0.137,0.785,5562.55,1,0,otp_cvv_mismatch,0
TXN100079,2026-04-07 12:43:24,4257.51,credit_card,2359,329,1,203,0.448,335,operational,4854,down,ISSUER_DOWN,0.038,0.734,5755.25,1,1,issuer_bank_down,1
TXN100080,2026-06-23 05:43:00,2186.33,credit_card,1519,779,0,779,0.896,339,operational,121,operational,OTP_CVV_MISMATCH,0.059,0.884,12166.49,1,1,otp_cvv_mismatch,0
TXN100081,2026-01-03 16:31:39,1395.95,credit_card,1886,678,0,714,0.947,7531,degraded,426,operational,BANK_TIMEOUT,0.088,0.744,6205.32,0,1,bank_server_timeout,1
TXN100082,2026-02-06 21:58:16,1186.07,credit_card,800,1114,1,1649,0.768,250,operational,293,operational,LIMIT_EXCEEDED,0.303,0.715,721.13,0,1,transaction_limit_exceeded,1
TXN100083,2026-03-31 21:42:29,2742.11,debit_card,170,867,0,407,0.589,189,operational,191,operational,INSUFFICIENT_FUNDS,0.104,0.059,5194.58,0,1,insufficient_funds,1
TXN100084,2026-03-03 02:16:25,7277.72,debit_card,959,934,0,600,0.831,324,operational,633,operational,INSUFFICIENT_FUNDS,0.08,0.551,3032.95,2,1,insufficient_funds,1
TXN100085,2026-04-23 06:41:04,1623.99,debit_card,1737,606,0,1996,0.56,289,operational,619,operational,INSUFFICIENT_FUNDS,0.234,0.119,14164.84,1,1,insufficient_funds,0
TXN100086,2026-03-06 21:35:09,7879.5,credit_card,142,648,1,1482,0.701,378,operational,3780,down,ISSUER_DOWN,0.203,0.537,4761.41,0,1,issuer_bank_down,0
TXN100087,2026-04-29 13:36:38,2614.15,credit_card,2169,204,3,1987,0.854,3781,degraded,510,degraded,BANK_TIMEOUT,0.161,0.404,10436.72,1,1,bank_server_timeout,1
TXN100088,2026-01-20 03:19:15,2633.93,debit_card,760,946,1,2248,0.983,577,operational,229,operational,INSUFFICIENT_FUNDS,0.321,0.049,3596.1,0,1,insufficient_funds,0
TXN100089,2026-03-01 18:50:32,19943.36,debit_card,1728,909,1,2342,0.654,8210,degraded,321,operational,TEMPORARY_FAILURE,0.211,0.668,6225.25,1,1,bank_server_timeout,0
TXN100090,2026-05-05 16:56:40,9397.7,debit_card,2210,390,1,2434,0.907,337,operational,156,operational,INSUFFICIENT_FUNDS,0.252,0.095,7556.95,1,1,insufficient_funds,0
TXN100091,2026-03-26 19:56:23,9644.58,debit_card,1540,193,0,1686,0.896,419,operational,2077,degraded,ISSUER_DOWN,0.316,0.84,2691.76,0,1,issuer_bank_down,1
TXN100092,2026-05-09 11:05:03,810.72,debit_card,453,949,3,1340,0.859,11469,degraded,150,operational,TEMPORARY_FAILURE,0.352,0.71,13416.29,2,1,bank_server_timeout,1
TXN100093,2026-04-25 12:51:42,16118.52,debit_card,661,-398,0,1608,0.635,465,operational,245,operational,CARD_EXPIRED,0.171,0.763,10692.53,0,1,expired_card,0
TXN100094,2026-03-01 03:06:35,1657.93,debit_card,1186,-42,1,1843,0.434,229,degraded,128,operational,CARD_EXPIRED,0.102,0.395,16789.53,0,1,expired_card,1
TXN100095,2026-03-19 02:16:47,1433.75,credit_card,2448,65,0,2182,0.846,546,operational,1179,operational,OTP_CVV_MISMATCH,0.126,0.402,2382.58,2,0,otp_cvv_mismatch,1
TXN100096,2026-06-23 15:28:30,207.74,credit_card,1701,-387,1,1510,0.704,647,operational,229,operational,CARD_EXPIRED,0.13,0.588,18442.87,0,0,expired_card,0
TXN100097,2026-06-23 04:25:26,2494.47,debit_card,1552,451,3,1458,0.729,250,operational,364,operational,INSUFFICIENT_FUNDS,0.36,0.042,4096.84,3,1,insufficient_funds,1
TXN100098,2026-01-07 09:42:33,609.23,credit_card,2013,313,2,1053,0.933,787,operational,402,operational,INSUFFICIENT_FUNDS,0.362,0.374,2985.95,1,0,insufficient_funds,0
TXN100099,2026-05-07 23:30:35,2707.54,credit_card,379,645,2,2036,0.887,242,operational,138,operational,CARD_BLOCKED,0.099,0.567,9998.59,0,1,card_blocked,0
TXN100100,2026-03-30 09:01:23,563.39,credit_card,230,1023,1,895,0.545,149,operational,396,operational,RISK_BLOCK,0.946,0.882,8475.28,0,1,risk_fraud_block,0
TXN100101,2026-01-01 05:30:09,10864.35,debit_card,1470,983,0,862,0.513,272,operational,7291,down,ISSUER_DOWN,0.094,0.607,3583.65,0,1,issuer_bank_down,1
TXN100102,2026-04-25 03:22:30,3124.77,credit_card,1491,-64,0,1538,0.736,459,operational,340,operational,CARD_EXPIRED,0.385,0.456,1919.93,1,1,expired_card,1
TXN100103,2026-01-05 04:34:02,17595.76,debit_card,665,1172,0,1583,0.924,575,operational,297,operational,CARD_BLOCKED,0.178,0.842,2824.86,3,1,card_blocked,0
TXN100104,2026-02-27 09:16:35,647.11,debit_card,1579,933,0,868,0.882,508,operational,14086,down,TEMPORARY_FAILURE,0.2,0.65,6342.79,0,1,issuer_bank_down,1
TXN100105,2026-05-05 06:05:48,8473.69,debit_card,408,1121,0,35,0.728,279,operational,5697,down,ISSUER_DOWN,0.193,0.626,10212.92,0,1,issuer_bank_down,1
TXN100106,2026-05-27 06:42:36,296.73,credit_card,517,1118,0,1874,0.808,6713,degraded,577,operational,BANK_TIMEOUT,0.238,0.522,12176.32,2,1,bank_server_timeout,1
TXN100107,2026-03-16 06:37:36,2216.35,debit_card,2238,-508,2,228,0.774,350,operational,633,operational,CARD_EXPIRED,0.088,0.887,9582.55,0,1,expired_card,1
TXN100108,2026-05-26 13:50:47,957.11,debit_card,106,71,1,321,0.792,483,operational,414,operational,INSUFFICIENT_FUNDS,0.115,0.108,3370.83,1,1,insufficient_funds,0
TXN100109,2026-06-01 02:30:52,1150.08,credit_card,1407,114,0,280,0.838,295,operational,367,operational,RISK_BLOCK,0.789,0.454,13329.57,0,1,risk_fraud_block,0
TXN100110,2026-03-22 13:23:21,1073.89,debit_card,2115,762,1,1798,0.768,9306,operational,192,degraded,BANK_TIMEOUT,0.13,0.822,4816.51,1,0,bank_server_timeout,0
TXN100111,2026-02-01 03:25:35,721.13,credit_card,1791,136,1,1881,0.861,666,operational,384,operational,INSUFFICIENT_FUNDS,0.043,0.097,8578.19,2,1,insufficient_funds,1
TXN100112,2026-04-29 15:43:44,510.74,debit_card,1116,-118,2,1281,0.96,362,operational,247,operational,CARD_EXPIRED,0.055,0.596,1155.75,1,1,expired_card,0
TXN100113,2026-01-03 11:43:56,1156.46,debit_card,806,150,0,237,0.778,373,operational,124,operational,OTP_CVV_MISMATCH,0.238,0.634,10714.1,1,0,otp_cvv_mismatch,0
TXN100114,2026-06-10 18:41:44,2021.45,credit_card,180,983,1,210,0.745,460,operational,234,operational,INSUFFICIENT_FUNDS,0.223,0.09,8336.58,0,1,insufficient_funds,0
TXN100115,2026-03-11 20:30:56,5763.13,debit_card,336,342,0,1407,0.552,271,operational,279,degraded,LIMIT_EXCEEDED,0.218,0.358,4430.59,0,1,transaction_limit_exceeded,0
TXN100116,2026-05-17 19:18:46,2418.47,credit_card,1457,150,2,2100,0.798,235,operational,10326,down,TEMPORARY_FAILURE,0.368,0.724,4222.42,0,1,issuer_bank_down,1
TXN100117,2026-05-13 11:47:48,5779.56,debit_card,1335,427,2,1771,0.927,418,operational,9441,down,ISSUER_DOWN,0.34,0.228,4839.21,3,1,issuer_bank_down,1
TXN100118,2026-03-27 02:46:34,410.5,debit_card,960,1094,0,1377,0.857,13112,operational,283,operational,BANK_TIMEOUT,0.221,0.573,2530.87,0,1,bank_server_timeout,1
TXN100119,2026-06-24 21:51:49,1167.44,credit_card,752,675,0,1261,0.835,337,operational,286,operational,AUTH_FAILURE,0.038,0.72,7551.39,1,0,otp_cvv_mismatch,1
TXN100120,2026-05-24 08:04:20,3664.87,debit_card,228,1192,0,1839,0.811,263,operational,485,operational,OTP_CVV_MISMATCH,0.241,0.816,7770.87,2,0,otp_cvv_mismatch,1
TXN100121,2026-06-09 01:23:05,2536.99,debit_card,334,332,0,534,0.897,284,operational,182,operational,OTP_CVV_MISMATCH,0.092,0.593,1802.55,2,0,otp_cvv_mismatch,1
TXN100122,2026-01-17 21:39:36,760.8,credit_card,739,816,0,315,0.742,394,operational,324,operational,INSUFFICIENT_FUNDS,0.203,0.213,1812.71,0,1,insufficient_funds,0
TXN100123,2026-03-29 03:12:08,4580.72,debit_card,2311,248,1,892,0.776,8085,degraded,535,operational,TEMPORARY_FAILURE,0.192,0.602,2643.34,2,1,bank_server_timeout,0
TXN100124,2026-06-21 08:29:18,1058.14,credit_card,837,533,0,393,0.832,561,operational,319,operational,INSUFFICIENT_FUNDS,0.172,0.077,8579.25,0,1,insufficient_funds,0
TXN100125,2026-05-27 07:22:14,827.31,credit_card,315,470,0,679,0.755,4896,degraded,276,operational,BANK_TIMEOUT,0.249,0.32,15321.61,0,1,bank_server_timeout,1
TXN100126,2026-03-23 17:44:54,2929.21,credit_card,1450,-585,1,2197,0.903,285,operational,275,operational,CARD_EXPIRED,0.508,0.44,6810.8,1,1,expired_card,0
TXN100127,2026-01-13 15:49:39,1811.14,credit_card,342,817,1,1204,0.861,449,operational,118,degraded,INSUFFICIENT_FUNDS,0.042,0.017,3736.98,2,1,insufficient_funds,1
TXN100128,2026-02-20 19:11:03,1067.02,credit_card,1026,94,0,1170,0.917,500,operational,331,operational,GENERIC_DECLINE,0.175,0.065,1286.64,1,1,insufficient_funds,0
TXN100129,2026-04-14 00:12:59,1031.4,credit_card,1828,843,1,1876,0.919,518,operational,162,operational,OTP_CVV_MISMATCH,0.151,0.6,8223.84,1,0,otp_cvv_mismatch,0
TXN100130,2026-04-26 12:47:32,617.54,debit_card,294,911,1,744,0.851,166,operational,316,operational,INSUFFICIENT_FUNDS,0.217,0.08,5005.4,0,1,insufficient_funds,0
TXN100131,2026-06-16 08:58:08,1211.72,credit_card,2309,476,0,1770,0.847,303,operational,226,operational,RISK_BLOCK,0.963,0.86,7236.87,0,1,risk_fraud_block,0
TXN100132,2026-01-17 17:10:30,5407.55,debit_card,1599,111,0,1300,0.948,271,operational,805,operational,OTP_CVV_MISMATCH,0.293,0.715,3941.33,2,0,otp_cvv_mismatch,1
TXN100133,2026-03-13 08:23:01,2298.68,credit_card,2288,-487,1,1434,0.737,208,degraded,258,operational,CARD_EXPIRED,0.136,0.899,5127.73,0,1,expired_card,1
TXN100134,2026-02-18 23:25:32,4694.45,credit_card,1830,407,0,933,0.738,201,operational,100,operational,AUTH_FAILURE,0.061,0.7,13424.4,1,0,otp_cvv_mismatch,1
TXN100135,2026-06-22 19:38:04,3015.77,debit_card,2415,957,0,2327,0.691,761,operational,290,operational,INSUFFICIENT_FUNDS,0.096,0.362,10769.24,0,1,insufficient_funds,1
TXN100136,2026-01-30 21:34:14,975.84,credit_card,1283,193,0,2434,0.762,426,operational,149,operational,CARD_BLOCKED,0.272,0.699,10503.38,2,1,card_blocked,0
TXN100137,2026-02-09 17:21:34,345.99,credit_card,70,377,2,318,0.529,4275,degraded,370,operational,BANK_TIMEOUT,0.118,0.709,876.63,0,1,bank_server_timeout,1
TXN100138,2026-02-23 14:34:31,712.43,debit_card,186,879,1,498,0.639,273,operational,7498,down,ISSUER_DOWN,0.014,0.807,6197.53,0,1,issuer_bank_down,1
TXN100139,2026-01-20 00:20:17,919.94,credit_card,482,1130,1,1873,0.65,658,operational,186,operational,GENERIC_DECLINE,0.205,0.225,5382.37,3,1,insufficient_funds,1
TXN100140,2026-04-26 19:46:45,851.47,credit_card,284,725,0,1328,0.866,7483,degraded,353,operational,BANK_TIMEOUT,0.088,0.629,11423.79,1,1,bank_server_timeout,1
TXN100141,2026-04-05 10:58:23,4800.92,debit_card,2025,32,2,1928,0.879,1936,operational,340,operational,TEMPORARY_FAILURE,0.09,0.777,4621.68,0,1,bank_server_timeout,1
TXN100142,2026-04-11 09:04:47,4751.1,credit_card,2363,848,0,835,0.916,474,operational,178,operational,RISK_BLOCK,0.653,0.683,3955.9,0,1,risk_fraud_block,0
TXN100143,2026-06-13 07:18:23,16439.16,debit_card,1565,66,3,1618,0.83,190,operational,235,operational,OTP_CVV_MISMATCH,0.114,0.646,15747.63,1,0,otp_cvv_mismatch,0
TXN100144,2026-03-19 23:01:13,838.67,credit_card,497,105,0,418,0.935,7194,degraded,604,operational,BANK_TIMEOUT,0.134,0.888,7253.59,0,1,bank_server_timeout,1
TXN100145,2026-02-26 00:43:34,8892.74,credit_card,2448,-757,1,2404,0.51,670,operational,276,operational,CARD_EXPIRED,0.284,0.713,3281.4,1,0,expired_card,1
